74	146	48	35
74	143	42	33
75	146	44	34
76	146	45	33
79	148	44	32
82	148	44	31
85	149	40	33
88	150	38	33
89	151	37	32
95	149	35	33
97	151	34	35
99	152	34	34
102	152	32	35
106	153	30	35
110	152	29	37
113	153	29	37
115	152	29	38
117	152	31	37
120	152	29	38
122	155	30	37
124	153	32	38
125	153	33	37
126	154	34	36
128	152	33	38
125	152	36	39
123	151	41	38
123	150	42	40
122	153	43	36
121	151	44	37
119	147	46	41
119	146	47	40
115	146	51	40
113	144	51	41
113	145	51	41
111	144	51	42
109	146	53	39
105	146	54	40
104	147	52	38
101	148	55	36
99	151	54	33
97	150	54	34
94	150	56	34
91	152	57	34
89	154	58	33
87	153	58	32
84	154	59	32
82	155	60	31
80	156	60	31
78	157	59	30
77	159	61	29
74	159	61	28
72	159	62	29
69	160	59	26
70	160	58	27
70	161	58	25
69	159	57	26
69	158	54	27
68	159	56	24
66	158	60	25
67	156	60	25
67	156	62	26
67	154	61	25
69	154	62	26
71	155	61	25
71	154	62	27
74	156	60	25
76	157	61	26
78	159	60	25
81	159	60	25
82	160	60	24
85	162	59	26
88	163	59	25
92	163	57	26
97	163	57	27
103	162	54	30
107	162	54	32
112	160	51	34
116	160	51	35
123	158	46	37
126	158	45	39
132	156	43	41
137	157	38	43
143	156	36	46
150	157	33	45
153	158	33	45
159	157	29	46
164	161	28	43
169	161	26	43
173	162	27	42
178	165	28	40
182	167	28	38
185	170	29	36
188	172	32	35
189	173	35	35
192	176	35	33
192	176	37	34
194	178	38	34
195	180	39	35
193	179	43	36
192	182	47	34
192	182	46	33
191	185	48	30
187	187	50	27
187	189	50	26
184	191	50	26
181	191	52	26
178	192	51	26
176	192	51	25
174	193	50	24
170	193	51	24
164	192	52	23
161	192	53	24
156	191	51	25
150	191	53	26
145	190	51	26
138	187	52	27
131	184	55	30
127	184	52	30
125	184	50	30
120	182	50	32
112	179	51	32
109	179	49	33
106	178	48	33
102	177	49	34
100	178	47	33
98	179	45	32
93	176	44	36
91	175	44	36
89	174	42	38
86	173	41	39
84	172	40	41
81	172	41	40
82	172	40	40
80	174	39	39
82	173	32	38
81	176	36	36
80	177	39	35
80	178	41	34
84	180	42	32
86	184	41	30
89	186	40	28
93	190	39	25
101	193	34	24
105	194	32	24
111	194	30	24
117	196	30	23
122	197	29	23
128	198	28	23
136	199	29	23
144	201	30	21
151	199	31	22
155	200	34	21
161	200	36	21
165	199	38	22
171	198	39	25
175	195	43	28
180	191	46	31
187	188	44	34
194	186	44	36
197	184	46	37
204	180	46	40
210	178	44	41
214	175	44	43
219	173	42	43
222	172	43	44
227	168	42	45
230	170	42	45
232	166	42	47
233	164	41	48
235	159	41	48
236	158	40	49
239	157	35	49
238	155	35	51
234	156	39	49
233	155	42	49
231	156	42	51
229	158	41	52
227	158	41	52
225	159	41	51
223	161	38	50
219	164	37	49
216	167	35	48
210	169	37	46
205	173	37	44
201	176	35	43
195	179	36	41
192	181	31	41
187	182	31	41
180	183	30	41
175	185	28	40
168	186	29	40
165	185	26	40
157	186	26	41
152	186	27	42
146	187	28	42
140	185	29	43
133	185	29	43
126	184	31	43
120	182	32	44
115	181	34	44
111	179	34	46
107	178	36	47
103	179	38	47
99	174	38	51
95	174	41	48
92	173	42	48
93	174	42	49
92	170	41	51
93	171	41	50
95	181	40	40
92	174	44	46
93	171	44	49
95	173	47	48
95	171	48	50
