74	146	48	35
82	146	39	35
83	146	40	36
84	147	42	36
83	145	41	37
82	147	43	36
85	148	40	35
89	149	34	34
91	150	35	34
93	150	32	34
97	151	33	36
99	153	32	36
101	154	30	35
105	154	30	35
109	156	29	35
112	157	30	35
116	157	29	36
117	158	29	35
120	158	30	36
123	159	30	36
125	157	29	37
129	156	31	37
130	155	31	37
132	155	27	37
131	153	32	39
132	151	35	40
132	152	34	40
124	151	41	38
124	151	42	35
123	149	44	39
120	146	48	42
119	146	49	41
117	146	50	41
112	143	54	41
113	144	53	44
109	144	56	41
110	143	53	42
106	142	54	41
104	146	53	38
100	148	55	36
99	148	51	36
94	149	57	34
93	152	54	32
91	151	56	33
88	154	58	32
87	154	58	32
86	155	58	31
85	156	57	31
81	157	60	31
78	159	57	28
77	155	59	29
74	158	59	29
74	158	56	28
73	158	58	27
71	159	53	26
70	158	57	25
68	158	57	25
68	156	57	25
68	157	58	25
68	156	60	26
70	155	58	26
71	154	58	27
73	153	56	29
74	155	57	28
75	158	59	27
76	156	59	27
78	158	59	27
78	158	59	27
81	157	57	25
88	159	53	25
87	161	57	24
90	162	59	24
95	162	56	26
96	164	56	25
104	163	53	28
109	161	52	31
112	161	49	33
119	161	46	35
121	159	46	38
129	161	42	39
132	157	41	41
137	157	41	43
145	157	34	43
150	158	33	44
156	158	31	44
160	157	29	45
164	158	29	44
169	160	26	45
172	160	28	43
177	164	28	40
180	166	27	40
181	167	33	38
186	172	31	35
186	175	34	35
190	174	34	34
193	177	36	35
193	179	38	36
195	181	39	35
199	183	37	35
197	184	41	36
195	185	42	36
195	186	42	36
195	188	43	31
195	189	45	29
194	191	46	30
193	191	44	30
185	193	49	24
179	190	49	23
175	192	54	24
173	188	49	24
166	188	53	25
162	189	52	24
159	188	48	26
153	185	48	28
147	185	50	30
141	184	49	31
135	184	53	31
130	181	49	33
127	181	46	32
120	180	48	31
116	181	47	31
111	177	46	34
106	178	46	34
105	177	44	34
99	176	42	35
97	175	42	37
94	173	40	40
90	173	43	40
90	173	37	41
86	171	40	42
87	172	36	43
86	172	34	43
84	171	34	43
83	171	31	41
83	170	29	43
84	173	31	41
84	176	32	39
86	177	31	37
84	178	35	35
87	182	35	31
88	183	38	29
91	187	39	27
97	190	37	26
102	192	36	22
109	194	33	23
118	196	30	22
124	197	30	21
131	198	28	22
139	197	28	22
145	200	29	20
150	201	32	20
156	201	32	20
164	200	34	20
167	198	36	21
174	194	37	24
178	193	41	27
187	188	40	30
191	185	43	33
201	183	40	33
207	180	39	37
211	177	38	38
216	176	39	39
220	175	39	39
223	173	39	42
226	173	38	41
229	171	37	42
233	170	40	43
234	168	39	43
238	166	38	45
240	163	37	46
240	159	36	47
243	160	34	48
244	159	34	48
244	160	34	49
240	158	35	47
240	160	36	47
238	160	36	50
235	160	38	49
233	159	37	50
230	162	37	51
226	165	36	49
224	166	34	48
217	171	35	46
212	173	36	44
206	175	35	44
201	178	34	42
199	181	31	41
194	185	31	41
186	185	31	41
181	187	29	41
175	188	28	41
166	186	27	42
159	188	27	41
153	187	27	42
149	188	27	42
142	186	30	45
137	186	29	45
131	185	29	45
124	184	33	47
118	182	34	47
114	180	32	49
107	179	37	49
102	177	38	49
100	176	37	50
97	176	39	50
98	175	35	51
93	173	40	53
93	171	37	52
93	173	39	52
96	176	36	45
93	175	41	50
95	176	42	47
97	177	42	46
98	178	44	44
101	176	45	48
102	177	46	46
107	176	43	47
